"SiteId","SampId","X","Y","Region","RiverBasin","BIOGEO","temperature","velocity","A10m","cow.density","IAR","urban.area","FRI","bFRI","width.variability","temperature2","velocity2","temperature.lm.area.elev","temperature.lm.area.air","temperature.lme.area.elev","Occurrence.Simuliidae","Occurrence.Oligochaeta","Occurrence.Limoniidae","Occurrence.Limnephilidae","Occurrence.Rhyacophilidae","Occurrence.Elmidae","Occurrence.Gammaridae","Occurrence.Heptageniidae","Occurrence.Nemouridae","Occurrence.Empididae","Occurrence.Hydropsychidae","Occurrence.Leuctridae","Occurrence.Ceratopogonidae","Occurrence.Prostigmata","Occurrence.Psychodidae","Occurrence.Leptophlebiidae","Occurrence.Sphaeriidae","Occurrence.Taeniopterygidae","Occurrence.Perlodidae","Occurrence.Athericidae","Occurrence.Psychomyiidae","Occurrence.Nematoda","Occurrence.Hydraenidae","Occurrence.Planariidae","Occurrence.Sericostomatidae","Occurrence.Tipulidae","Occurrence.Polycentropodidae","Occurrence.Odontoceridae","Occurrence.Dugesiidae","Occurrence.Lymnaeidae","Occurrence.Erpobdellidae","Occurrence.Scirtidae","Occurrence.Ephemerellidae","Occurrence.Asellidae","Occurrence.Ephemeridae","Occurrence.Chloroperlidae","Occurrence.Dytiscidae","Occurrence.Stratiomyidae","Occurrence.Hydroptilidae","Occurrence.Hydrobiidae","Occurrence.Perlidae","Occurrence.Planorbidae","Occurrence.Glossosomatidae","Occurrence.Blephariceridae","Occurrence.Glossiphoniidae","Occurrence.Capniidae","Occurrence.Goeridae","Occurrence.Philopotamidae","Occurrence.Dixidae","Occurrence.Gyrinidae","Occurrence.Caenidae","Occurrence.Leptoceridae","Occurrence.Calopterygidae","Occurrence.Tabanidae","Occurrence.Pediciidae","Occurrence.Cordulegastridae","Occurrence.Anthomyiidae","Occurrence.Lepidostomatidae","Occurrence.Physidae","Occurrence.Sialidae"
"CSCF_43_50_GE","CSCF_43_50_GE_2010-03-09",498000,115000,"RHONE","RHONE","Mittelland",17.8611009497293,0.279066364506524,1.0224012,2.96590112416331,0.1728901743,0.5742,26.635573,41.850341,0.4125,319.018927136421,0.0778780357988881,17.8957414651748,15.6648633817361,17.8611009497293,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CSCF_45_2100_GE","CSCF_45_2100_GE_2010-03-09",498000,116000,"RHONE","RHONE","Mittelland",19.565450864068,0.215288141310489,9.1260567,3.21109922299787,0.2813782755,0.3394,22.560048,33.087858,1,382.806867514259,0.0463489837889251,19.602008063008,16.8169640709746,19.565450864068,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CSCF_30_3350_GE","CSCF_30_3350_GE_2010-03-01",5e+05,114000,"RHONE","RHONE","Mittelland",17.0884460255692,0.228380239882279,23.203474,5.73280930454484,0.3890944422,0.2583,68.013158,95.709679,1,292.014987568792,0.0521575339686873,17.1222234374988,15.3226511798252,17.0884460255692,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CSCF_45_4550_GE","CSCF_45_4550_GE_2010-03-09",497000,115000,"RHONE","RHONE","Mittelland",19.1475934062654,0.18449879430895,12.6417923,3.50462290095056,0.3367621374,0.2232,22.415235,35.012815,1,366.630333251658,0.0340398051014562,19.1836818387014,16.4981041672798,19.1475934062654,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_45_5450_GE","CSCF_45_5450_GE_2010-03-09",496000,114000,"RHONE","RHONE","Mittelland",19.1475934062654,0.192440523048833,12.6417923,3.50462290095056,0.3367621374,0.2232,22.415235,6.881044,0.4125,366.630333251658,0.0370333549113084,19.1836818387014,16.4981041672798,19.1475934062654,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_32_200_GE","CSCF_32_200_GE_2010-03-01",5e+05,114000,"RHONE","RHONE","Mittelland",17.3176890584279,0.275349756146662,25.5964699,1.05701957893844,0.3303670188,0.2863,0,0,0.4125,299.902354324393,0.0758174882100262,17.351720084074,15.3605455402806,17.3176890584279,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"CSCF_45_8550_GE","CSCF_45_8550_GE_2010-03-04",495000,112000,"RHONE","RHONE","Mittelland",15.4965204989627,0.083374695060604,14.6063566,1.69410292978114,0.234843318,0.0348,32.914815,0,0,240.142147574771,0.00695133977644871,15.5285121334608,14.5639049602786,15.4965204989627,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CSCF_35_300_GE","CSCF_35_300_GE_2010-03-01",5e+05,114000,"RHONE","RHONE","Mittelland",16.0128442961623,0.269522041750643,9.8972998,3.09134021846961,0.387353965,0.1433,71.539018,94.660882,1,256.411182453137,0.0726421309894353,16.0454122873143,14.7164842453043,16.0128442961623,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"CSCF_45_4900_GE","CSCF_45_4900_GE_2010-03-09",497000,115000,"RHONE","RHONE","Mittelland",19.1475934062654,0.212791519803055,12.6417923,3.50462290095056,0.3367621374,0.2232,22.415235,0,0.4125,366.630333251658,0.0452802309000939,19.1836818387014,16.4981041672798,19.1475934062654,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CSCF_30_1750_GE","CSCF_30_1750_GE_2010-03-01",499000,115000,"RHONE","RHONE","Mittelland",18.331371115885,0.403018724993262,18.0542374,3.04162488848866,0.3362401707,0.3034,58.812756,0,0.4125,336.039166988303,0.162424092695195,18.3665428940319,16.0314187736089,18.331371115885,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CSCF_30_6450_GE","CSCF_30_6450_GE_2010-03-01",5e+05,112000,"RHONE","RHONE","Mittelland",15.6000379121907,0.16107528868606,23.4800987,8.47565749736265,0.4023244727,0.2354,89.392437,80.395701,1,243.361182861787,0.0259452486252976,15.6321435297084,14.2562020034739,15.6000379121907,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
