"Taxa","Prevalence","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"Simuliidae",0.92,0.72,0.71,0.7,0.72,0.72
"Oligochaeta",0.87,0.67,0.68,0.68,0.67,0.68
"Limoniidae",0.86,0.66,0.66,0.64,0.66,0.66
"Limnephilidae",0.82,0.64,0.65,0.66,0.64,0.64
"Rhyacophilidae",0.81,0.67,0.65,0.65,0.66,0.65
"Elmidae",0.77,0.85,0.85,0.84,0.84,0.84
"Gammaridae",0.74,0.9,0.9,0.9,0.9,0.9
"Heptageniidae",0.72,0.77,0.76,0.76,0.77,0.77
"Nemouridae",0.71,0.85,0.85,0.84,0.86,0.85
"Empididae",0.69,0.57,0.57,0.57,0.57,0.56
"Hydropsychidae",0.69,0.79,0.77,0.78,0.78,0.78
"Leuctridae",0.68,0.84,0.84,0.83,0.84,0.84
"Ceratopogonidae",0.59,0.7,0.71,0.71,0.71,0.7
"Prostigmata",0.54,0.67,0.68,0.68,0.68,0.68
"Psychodidae",0.51,0.63,0.63,0.63,0.62,0.63
"Leptophlebiidae",0.45,0.72,0.73,0.73,0.73,0.73
"Sphaeriidae",0.43,0.8,0.8,0.8,0.8,0.8
"Taeniopterygidae",0.44,0.75,0.73,0.74,0.74,0.74
"Perlodidae",0.44,0.81,0.81,0.81,0.81,0.81
"Athericidae",0.36,0.75,0.74,0.74,0.75,0.74
"Psychomyiidae",0.34,0.71,0.72,0.73,0.71,0.72
"Nematoda",0.33,0.59,0.59,0.58,0.59,0.59
"Hydraenidae",0.32,0.72,0.72,0.72,0.73,0.72
"Planariidae",0.32,0.6,0.62,0.62,0.61,0.61
"Sericostomatidae",0.28,0.68,0.68,0.68,0.68,0.68
"Tipulidae",0.27,0.58,0.58,0.57,0.58,0.59
"Polycentropodidae",0.26,0.61,0.62,0.61,0.63,0.62
"Odontoceridae",0.25,0.67,0.69,0.66,0.67,0.67
"Dugesiidae",0.22,0.65,0.66,0.66,0.65,0.66
"Lymnaeidae",0.22,0.71,0.72,0.71,0.71,0.72
"Erpobdellidae",0.21,0.81,0.81,0.82,0.82,0.82
"Scirtidae",0.2,0.68,0.71,0.71,0.7,0.71
"Ephemerellidae",0.2,0.76,0.75,0.76,0.73,0.76
"Asellidae",0.19,0.82,0.83,0.82,0.83,0.82
"Ephemeridae",0.18,0.75,0.74,0.74,0.74,0.74
"Chloroperlidae",0.18,0.81,0.8,0.81,0.79,0.8
"Dytiscidae",0.16,0.64,0.63,0.64,0.64,0.65
"Stratiomyidae",0.17,0.62,0.65,0.64,0.64,0.64
"Hydroptilidae",0.16,0.76,0.75,0.76,0.75,0.76
"Hydrobiidae",0.14,0.82,0.82,0.82,0.82,0.82
"Perlidae",0.14,0.83,0.83,0.83,0.82,0.83
"Planorbidae",0.13,0.79,0.77,0.79,0.79,0.78
"Glossosomatidae",0.12,0.73,0.72,0.73,0.73,0.73
"Blephariceridae",0.12,0.89,0.9,0.9,0.9,0.9
"Glossiphoniidae",0.11,0.8,0.79,0.78,0.78,0.79
"Capniidae",0.1,0.88,0.88,0.88,0.87,0.89
"Goeridae",0.09,0.58,0.6,0.58,0.58,0.57
"Philopotamidae",0.09,0.84,0.85,0.85,0.84,0.84
"Dixidae",0.09,0.79,0.82,0.8,0.78,0.79
"Gyrinidae",0.08,0.8,0.79,0.79,0.81,0.81
"Caenidae",0.08,0.8,0.76,0.79,0.76,0.78
"Leptoceridae",0.08,0.81,0.79,0.8,0.79,0.8
"Calopterygidae",0.08,0.8,0.8,0.8,0.8,0.8
"Tabanidae",0.07,0.68,0.68,0.69,0.69,0.69
"Pediciidae",0.07,0.67,0.68,0.7,0.68,0.68
"Cordulegastridae",0.07,0.64,0.71,0.67,0.65,0.65
"Anthomyiidae",0.07,0.53,0.53,0.57,0.54,0.54
"Lepidostomatidae",0.06,0.78,0.79,0.78,0.8,0.8
"Physidae",0.06,0.76,0.76,0.75,0.77,0.75
"Sialidae",0.05,0.56,0.61,0.57,0.59,0.58
