"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Simuliidae",0.92,"family",0.55,0.5,0.5,0.5,0.5,0.5,0.09,0.09,0.09,0.09,0.09,0.51,0.51,0.52,0.51,0.51,0.08,0.07,0.05,0.07,0.07,0.73,0.74,0.73,0.73,0.72,0.5,0.72,0.71,0.7,0.72,0.72,1,0.99,0.99,0.99,1,0.99,0.96,0.96,0.99,0.99,"ANN_rand1.dev-ANN_rand3.dev",0.02
"Oligochaeta",0.87,"class",0.78,0.73,0.72,0.72,0.72,0.73,0.06,0.08,0.08,0.07,0.07,0.74,0.74,0.73,0.74,0.73,0.05,0.05,0.06,0.05,0.06,0.69,0.71,0.71,0.7,0.7,0.5,0.67,0.68,0.68,0.67,0.68,1,0.99,0.99,0.99,1,0.97,0.95,0.96,0.96,0.97,"ANN_rand3.dev-ANN_rand4.dev",0.01
"Limoniidae",0.86,"family",0.81,0.77,0.76,0.76,0.76,0.76,0.05,0.06,0.06,0.07,0.06,0.77,0.77,0.78,0.77,0.78,0.05,0.05,0.04,0.04,0.04,0.66,0.67,0.67,0.68,0.67,0.5,0.66,0.66,0.64,0.66,0.66,1,1,0.99,0.99,0.99,0.99,0.98,0.96,0.98,0.99,"ANN_rand1.dev-ANN_rand3.dev",0.01
"Limnephilidae",0.82,"family",0.93,0.9,0.89,0.89,0.89,0.9,0.04,0.05,0.05,0.04,0.04,0.9,0.9,0.9,0.9,0.9,0.03,0.04,0.04,0.03,0.04,0.64,0.66,0.66,0.65,0.65,0.5,0.64,0.65,0.66,0.64,0.64,1,0.99,1,0.99,1,1,0.99,0.99,0.98,0.99,"ANN_rand3.dev-ANN_rand4.dev",0.01
"Rhyacophilidae",0.81,"family",0.98,0.91,0.91,0.91,0.9,0.92,0.07,0.07,0.08,0.08,0.07,0.93,0.95,0.93,0.93,0.94,0.05,0.04,0.06,0.06,0.04,0.67,0.67,0.67,0.68,0.66,0.5,0.67,0.65,0.65,0.66,0.65,0.99,0.98,0.99,0.99,0.99,1,0.96,0.98,0.98,0.97,"ANN_rand3.dev-ANN_rand2.dev",0.02
"Elmidae",0.77,"family",1.09,0.72,0.73,0.72,0.72,0.73,0.34,0.33,0.33,0.34,0.33,0.73,0.73,0.73,0.74,0.74,0.33,0.33,0.32,0.32,0.32,0.86,0.84,0.84,0.85,0.85,0.5,0.85,0.85,0.84,0.84,0.84,0.99,1,0.99,0.99,1,0.99,1.01,0.99,0.99,0.99,"ANN_rand2.dev-ANN_rand5.dev",0.01
"Gammaridae",0.74,"family",1.15,0.63,0.63,0.62,0.63,0.63,0.45,0.45,0.46,0.45,0.45,0.64,0.64,0.63,0.64,0.64,0.45,0.44,0.45,0.44,0.44,0.9,0.9,0.9,0.9,0.9,0.5,0.9,0.9,0.9,0.9,0.9,1,1,0.99,0.99,0.99,1,1,0.99,1,1,"ANN_rand3.dev-ANN_rand5.dev",0.01
"Heptageniidae",0.72,"family",1.18,0.97,0.98,0.96,0.97,0.97,0.18,0.17,0.19,0.18,0.18,0.98,0.99,0.99,0.98,0.99,0.17,0.16,0.16,0.17,0.17,0.78,0.77,0.78,0.77,0.77,0.5,0.77,0.76,0.76,0.77,0.77,0.99,0.99,0.99,0.99,0.99,1,0.99,0.98,0.99,0.99,"ANN_rand4.dev-ANN_rand3.dev",0.01
"Nemouridae",0.71,"family",1.21,0.85,0.85,0.83,0.84,0.83,0.3,0.3,0.31,0.31,0.32,0.87,0.86,0.87,0.85,0.86,0.29,0.29,0.28,0.3,0.3,0.86,0.85,0.86,0.86,0.86,0.5,0.85,0.85,0.84,0.86,0.85,0.99,0.99,0.98,1,0.99,0.99,1,0.98,1,0.99,"ANN_rand4.dev-ANN_rand3.dev",0.02
"Empididae",0.69,"family",1.25,1.23,1.22,1.22,1.22,1.23,0.02,0.02,0.02,0.02,0.02,1.24,1.24,1.23,1.24,1.24,0.01,0,0.01,0.01,0,0.58,0.59,0.59,0.59,0.58,0.5,0.57,0.57,0.57,0.57,0.56,1,0.99,0.99,0.99,0.99,0.98,0.96,0.96,0.97,0.97,"ANN_rand3.dev-ANN_rand2.dev",0.01
