"Taxa","Prevalence","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"Simuliidae",0.92,1,0.99,0.99,0.99,1
"Oligochaeta",0.87,1,0.99,0.99,0.99,1
"Limoniidae",0.86,1,1,0.99,0.99,0.99
"Limnephilidae",0.82,1,0.99,1,0.99,1
"Rhyacophilidae",0.81,0.99,0.98,0.99,0.99,0.99
"Elmidae",0.77,0.99,1,0.99,0.99,1
"Gammaridae",0.74,1,1,0.99,0.99,0.99
"Heptageniidae",0.72,0.99,0.99,0.99,0.99,0.99
"Nemouridae",0.71,0.99,0.99,0.98,1,0.99
"Empididae",0.69,1,0.99,0.99,0.99,0.99
"Hydropsychidae",0.69,1,0.99,1,0.99,1
"Leuctridae",0.68,0.99,0.99,0.98,0.99,0.99
"Ceratopogonidae",0.59,1,1,0.99,0.99,1
"Prostigmata",0.54,0.99,1,0.99,1,1
"Psychodidae",0.51,1,0.99,0.99,0.99,1
"Leptophlebiidae",0.45,0.99,0.99,0.99,0.98,0.99
"Sphaeriidae",0.43,0.99,1,0.99,1,1
"Taeniopterygidae",0.44,1,0.99,0.99,0.99,0.99
"Perlodidae",0.44,0.99,0.99,1,0.99,0.99
"Athericidae",0.36,1,0.99,0.99,0.99,0.99
"Psychomyiidae",0.34,0.99,0.99,1,0.99,0.99
"Nematoda",0.33,1,1,1,1,1
"Hydraenidae",0.32,1,0.99,0.99,1,0.99
"Planariidae",0.32,0.99,1,1,1,1
"Sericostomatidae",0.28,0.99,1,0.99,0.99,0.99
"Tipulidae",0.27,1,1,1,1,1
"Polycentropodidae",0.26,1,0.99,1,1,1
"Odontoceridae",0.25,1,1,0.99,0.99,1
"Dugesiidae",0.22,1,0.99,0.99,0.99,0.99
"Lymnaeidae",0.22,0.99,1,0.99,1,1
"Erpobdellidae",0.21,0.99,0.98,0.99,0.99,0.99
"Scirtidae",0.2,1,1,0.99,0.99,0.99
"Ephemerellidae",0.2,1,0.98,0.99,0.98,0.99
"Asellidae",0.19,0.99,0.99,0.99,0.99,0.99
"Ephemeridae",0.18,0.99,1,0.99,1,0.99
"Chloroperlidae",0.18,0.99,0.98,1,0.99,0.99
"Dytiscidae",0.16,1,0.99,0.99,1,1
"Stratiomyidae",0.17,0.99,0.99,0.99,1,0.99
"Hydroptilidae",0.16,0.99,0.99,0.99,0.99,1
"Hydrobiidae",0.14,1,1,1,0.99,1
"Perlidae",0.14,1,1,1,0.99,0.99
"Planorbidae",0.13,0.99,0.99,0.99,0.99,0.99
"Glossosomatidae",0.12,1,1,0.99,0.99,1
"Blephariceridae",0.12,0.99,1,0.99,0.99,0.99
"Glossiphoniidae",0.11,1,0.99,0.99,0.99,1
"Capniidae",0.1,1,1,0.99,0.99,1
"Goeridae",0.09,1,1,1,1,0.99
"Philopotamidae",0.09,0.99,1,0.99,0.99,0.99
"Dixidae",0.09,1,1,0.99,0.99,0.99
"Gyrinidae",0.08,0.99,0.99,1,1,0.99
"Caenidae",0.08,0.99,0.99,0.99,0.99,0.99
"Leptoceridae",0.08,0.99,0.99,0.99,0.99,0.99
"Calopterygidae",0.08,0.99,1,0.99,1,0.99
"Tabanidae",0.07,1,1,1,1,1
"Pediciidae",0.07,1,1,1,1,1
"Cordulegastridae",0.07,1,1,1,0.99,0.99
"Anthomyiidae",0.07,0.99,0.99,1,0.99,0.99
"Lepidostomatidae",0.06,0.99,0.99,0.99,1,0.99
"Physidae",0.06,1,0.99,1,0.99,0.99
"Sialidae",0.05,1,1,1,1,1
