"Taxa","Prevalence","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"Simuliidae",0.92,0.51,0.51,0.52,0.51,0.51
"Oligochaeta",0.87,0.74,0.74,0.73,0.74,0.73
"Limoniidae",0.86,0.77,0.77,0.78,0.77,0.78
"Limnephilidae",0.82,0.9,0.9,0.9,0.9,0.9
"Rhyacophilidae",0.81,0.93,0.95,0.93,0.93,0.94
"Elmidae",0.77,0.73,0.73,0.73,0.74,0.74
"Gammaridae",0.74,0.64,0.64,0.63,0.64,0.64
"Heptageniidae",0.72,0.98,0.99,0.99,0.98,0.99
"Nemouridae",0.71,0.87,0.86,0.87,0.85,0.86
"Empididae",0.69,1.24,1.24,1.23,1.24,1.24
"Hydropsychidae",0.69,0.96,0.97,0.97,0.97,0.96
"Leuctridae",0.68,0.91,0.91,0.92,0.91,0.91
"Ceratopogonidae",0.59,1.23,1.21,1.23,1.22,1.23
"Prostigmata",0.54,1.29,1.28,1.28,1.28,1.28
"Psychodidae",0.51,1.34,1.34,1.34,1.35,1.35
"Leptophlebiidae",0.45,1.2,1.2,1.2,1.19,1.19
"Sphaeriidae",0.43,1.06,1.05,1.06,1.07,1.06
"Taeniopterygidae",0.44,1.18,1.21,1.2,1.2,1.2
"Perlodidae",0.44,1.05,1.06,1.04,1.05,1.06
"Athericidae",0.36,1.13,1.14,1.13,1.12,1.13
"Psychomyiidae",0.34,1.13,1.11,1.1,1.12,1.12
"Nematoda",0.33,1.25,1.25,1.25,1.25,1.25
"Hydraenidae",0.32,1.12,1.12,1.13,1.11,1.12
"Planariidae",0.32,1.23,1.21,1.22,1.22,1.21
"Sericostomatidae",0.28,1.1,1.08,1.1,1.09,1.1
"Tipulidae",0.27,1.16,1.16,1.16,1.16,1.16
"Polycentropodidae",0.26,1.1,1.1,1.09,1.09,1.09
"Odontoceridae",0.25,1.04,1.03,1.05,1.05,1.04
"Dugesiidae",0.22,1,1.01,1.01,1.02,1.01
"Lymnaeidae",0.22,0.95,0.94,0.95,0.95,0.95
"Erpobdellidae",0.21,0.81,0.81,0.81,0.8,0.81
"Scirtidae",0.2,0.92,0.9,0.91,0.91,0.91
"Ephemerellidae",0.2,0.85,0.86,0.85,0.88,0.86
"Asellidae",0.19,0.76,0.75,0.76,0.75,0.76
"Ephemeridae",0.18,0.81,0.81,0.83,0.81,0.82
"Chloroperlidae",0.18,0.77,0.78,0.75,0.77,0.77
"Dytiscidae",0.16,0.87,0.87,0.87,0.87,0.86
"Stratiomyidae",0.17,0.9,0.88,0.89,0.89,0.89
"Hydroptilidae",0.16,0.76,0.76,0.75,0.76,0.76
"Hydrobiidae",0.14,0.63,0.63,0.64,0.64,0.63
"Perlidae",0.14,0.64,0.64,0.63,0.65,0.63
"Planorbidae",0.13,0.65,0.67,0.65,0.65,0.66
"Glossosomatidae",0.12,0.65,0.65,0.65,0.65,0.65
"Blephariceridae",0.12,0.48,0.47,0.49,0.48,0.49
"Glossiphoniidae",0.11,0.59,0.59,0.6,0.61,0.59
"Capniidae",0.1,0.47,0.47,0.47,0.48,0.46
"Goeridae",0.09,0.6,0.6,0.61,0.6,0.61
"Philopotamidae",0.09,0.5,0.48,0.49,0.5,0.49
"Dixidae",0.09,0.52,0.5,0.52,0.52,0.53
"Gyrinidae",0.08,0.49,0.49,0.49,0.48,0.49
"Caenidae",0.08,0.46,0.47,0.46,0.48,0.47
"Leptoceridae",0.08,0.45,0.47,0.46,0.47,0.46
"Calopterygidae",0.08,0.46,0.46,0.46,0.46,0.46
"Tabanidae",0.07,0.51,0.51,0.5,0.51,0.51
"Pediciidae",0.07,0.49,0.49,0.48,0.49,0.49
"Cordulegastridae",0.07,0.46,0.45,0.46,0.46,0.47
"Anthomyiidae",0.07,0.49,0.5,0.49,0.5,0.5
"Lepidostomatidae",0.06,0.41,0.4,0.41,0.4,0.4
"Physidae",0.06,0.39,0.4,0.4,0.39,0.4
"Sialidae",0.05,0.41,0.4,0.41,0.4,0.41
