"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"Prevalence","60","0.323","0.263","0.05","0.108","0.215","0.465","0.92"
"Taxonomic level","60","","","","","","",""
"... class","1","1.7%","","","","","",""
"... family","57","95%","","","","","",""
"... order","1","1.7%","","","","","",""
"... phylum","1","1.7%","","","","","",""
"Null_model","60","0.938","0.307","0.41","0.658","0.96","1.218","1.39"
"ANN_rand1.dev.fit","60","0.805","0.279","0.38","0.515","0.795","1.042","1.34"
"ANN_rand2.dev.fit","60","0.803","0.278","0.39","0.5","0.795","1.042","1.33"
"ANN_rand3.dev.fit","60","0.802","0.278","0.39","0.508","0.8","1.035","1.33"
"ANN_rand4.dev.fit","60","0.803","0.277","0.38","0.508","0.795","1.045","1.33"
"ANN_rand5.dev.fit","60","0.804","0.279","0.39","0.508","0.795","1.045","1.34"
"expl.pow_ANN_rand1.dev.fit","60","0.14","0.099","0.01","0.05","0.135","0.212","0.45"
"expl.pow_ANN_rand2.dev.fit","60","0.142","0.097","0.01","0.06","0.135","0.19","0.45"
"expl.pow_ANN_rand3.dev.fit","60","0.142","0.099","0.01","0.06","0.135","0.195","0.46"
"expl.pow_ANN_rand4.dev.fit","60","0.142","0.097","0","0.068","0.135","0.195","0.45"
"expl.pow_ANN_rand5.dev.fit","60","0.141","0.098","0.01","0.06","0.14","0.205","0.45"
"ANN_rand1.dev.pred","60","0.816","0.279","0.39","0.518","0.81","1.053","1.34"
"ANN_rand2.dev.pred","60","0.815","0.279","0.4","0.51","0.81","1.053","1.34"
"ANN_rand3.dev.pred","60","0.816","0.278","0.4","0.52","0.82","1.053","1.34"
"ANN_rand4.dev.pred","60","0.816","0.278","0.39","0.518","0.805","1.055","1.35"
"ANN_rand5.dev.pred","60","0.817","0.278","0.4","0.525","0.815","1.06","1.35"
"expl.pow_ANN_rand1.dev.pred","60","0.128","0.098","-0.01","0.05","0.115","0.185","0.45"
"expl.pow_ANN_rand2.dev.pred","60","0.127","0.097","-0.03","0.048","0.115","0.172","0.44"
"expl.pow_ANN_rand3.dev.pred","60","0.127","0.096","-0.01","0.05","0.115","0.17","0.45"
"expl.pow_ANN_rand4.dev.pred","60","0.126","0.096","-0.03","0.048","0.12","0.175","0.44"
"expl.pow_ANN_rand5.dev.pred","60","0.126","0.098","-0.03","0.048","0.12","0.178","0.44"
"ANN_rand1.auc.fit","60","0.737","0.091","0.57","0.668","0.745","0.812","0.9"
"ANN_rand2.auc.fit","60","0.742","0.084","0.59","0.677","0.74","0.81","0.9"
"ANN_rand3.auc.fit","60","0.741","0.087","0.57","0.67","0.745","0.81","0.9"
"ANN_rand4.auc.fit","60","0.74","0.086","0.57","0.68","0.745","0.81","0.91"
"ANN_rand5.auc.fit","60","0.741","0.088","0.58","0.677","0.745","0.81","0.9"
"Null_model.auc","60","0.5","0","0.5","0.5","0.5","0.5","0.5"
"ANN_rand1.auc.pred","60","0.729","0.092","0.53","0.668","0.74","0.8","0.9"
"ANN_rand2.auc.pred","60","0.731","0.087","0.53","0.675","0.73","0.8","0.9"
"ANN_rand3.auc.pred","60","0.73","0.089","0.57","0.66","0.735","0.8","0.9"
"ANN_rand4.auc.pred","60","0.729","0.089","0.54","0.66","0.73","0.8","0.9"
"ANN_rand5.auc.pred","60","0.73","0.09","0.54","0.66","0.735","0.8","0.9"
"ANN_rand1.likelihood.ratio","60","0.995","0.005","0.99","0.99","1","1","1"
"ANN_rand2.likelihood.ratio","60","0.994","0.006","0.98","0.99","0.99","1","1"
"ANN_rand3.likelihood.ratio","60","0.993","0.005","0.98","0.99","0.99","1","1"
"ANN_rand4.likelihood.ratio","60","0.993","0.005","0.98","0.99","0.99","1","1"
"ANN_rand5.likelihood.ratio","60","0.994","0.005","0.99","0.99","0.99","1","1"
"ANN_rand1.auc.ratio","60","0.988","0.016","0.89","0.98","0.99","1","1"
"ANN_rand2.auc.ratio","60","0.986","0.016","0.91","0.98","0.99","1","1.01"
"ANN_rand3.auc.ratio","60","0.984","0.012","0.96","0.98","0.98","0.99","1.01"
"ANN_rand4.auc.ratio","60","0.985","0.012","0.95","0.98","0.99","0.99","1.01"
"ANN_rand5.auc.ratio","60","0.986","0.017","0.91","0.98","0.99","1","1"
"Big.pred.expl.pow.diff","60","0.017","0.01","0","0.01","0.015","0.02","0.05"
