"Taxa","Prevalence","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"Simuliidae",0.92,0.74,0.75,0.73,0.73,0.74
"Oligochaeta",0.87,0.74,0.73,0.77,0.76,0.76
"Limoniidae",0.86,0.7,0.72,0.72,0.74,0.75
"Limnephilidae",0.82,0.57,0.56,0.63,0.62,0.61
"Rhyacophilidae",0.81,0.77,0.77,0.77,0.74,0.74
"Elmidae",0.77,0.81,0.74,0.81,0.76,0.85
"Gammaridae",0.74,0.61,0.58,0.64,0.59,0.63
"Heptageniidae",0.72,0.83,0.83,0.83,0.84,0.81
"Nemouridae",0.71,0.84,0.85,0.84,0.85,0.84
"Empididae",0.69,0.64,0.63,0.64,0.63,0.64
"Hydropsychidae",0.69,0.78,0.76,0.79,0.78,0.76
"Leuctridae",0.68,0.84,0.84,0.84,0.84,0.84
"Ceratopogonidae",0.59,0.69,0.69,0.7,0.69,0.71
"Prostigmata",0.54,0.63,0.6,0.58,0.65,0.67
"Psychodidae",0.51,0.66,0.66,0.65,0.68,0.7
"Leptophlebiidae",0.45,0.66,0.66,0.68,0.68,0.66
"Sphaeriidae",0.43,0.72,0.73,0.7,0.72,0.72
"Taeniopterygidae",0.44,0.79,0.77,0.77,0.79,0.74
"Perlodidae",0.44,0.87,0.88,0.86,0.86,0.85
"Athericidae",0.36,0.74,0.76,0.77,0.78,0.77
"Psychomyiidae",0.34,0.56,0.55,0.59,0.55,0.57
"Nematoda",0.33,0.48,0.52,0.53,0.57,0.48
"Hydraenidae",0.32,0.67,0.68,0.68,0.71,0.73
"Planariidae",0.32,0.49,0.54,0.49,0.55,0.46
"Sericostomatidae",0.28,0.68,0.65,0.71,0.73,0.72
"Tipulidae",0.27,0.58,0.59,0.54,0.59,0.55
"Polycentropodidae",0.26,0.51,0.47,0.54,0.56,0.54
"Odontoceridae",0.25,0.57,0.56,0.58,0.63,0.67
"Dugesiidae",0.22,0.51,0.51,0.52,0.49,0.51
"Lymnaeidae",0.22,0.56,0.54,0.55,0.52,0.54
"Erpobdellidae",0.21,0.72,0.68,0.69,0.69,0.71
"Scirtidae",0.2,0.64,0.65,0.62,0.66,0.61
"Ephemerellidae",0.2,0.62,0.59,0.64,0.63,0.65
"Asellidae",0.19,0.74,0.72,0.72,0.72,0.72
"Ephemeridae",0.18,0.68,0.63,0.63,0.65,0.71
"Chloroperlidae",0.18,0.88,0.87,0.87,0.87,0.87
"Dytiscidae",0.16,0.61,0.58,0.61,0.64,0.64
"Stratiomyidae",0.17,0.74,0.73,0.71,0.79,0.76
"Hydroptilidae",0.16,0.58,0.57,0.61,0.59,0.58
"Hydrobiidae",0.14,0.65,0.63,0.67,0.67,0.7
"Perlidae",0.14,0.9,0.89,0.89,0.89,0.88
"Planorbidae",0.13,0.61,0.64,0.62,0.63,0.61
"Glossosomatidae",0.12,0.61,0.59,0.56,0.6,0.57
"Blephariceridae",0.12,0.73,0.72,0.67,0.71,0.69
"Glossiphoniidae",0.11,0.68,0.64,0.65,0.6,0.64
"Capniidae",0.1,0.88,0.89,0.88,0.89,0.87
"Goeridae",0.09,0.56,0.56,0.52,0.54,0.61
"Philopotamidae",0.09,0.96,0.89,0.95,0.9,0.95
"Dixidae",0.09,0.79,0.91,0.89,0.94,0.93
"Gyrinidae",0.08,0.64,0.63,0.66,0.67,0.61
"Caenidae",0.08,0.55,0.49,0.52,0.51,0.5
"Leptoceridae",0.08,0.56,0.53,0.58,0.53,0.55
"Calopterygidae",0.08,0.66,0.59,0.61,0.58,0.64
"Tabanidae",0.07,0.58,0.54,0.58,0.52,0.54
"Pediciidae",0.07,0.67,0.7,0.67,0.68,0.69
"Cordulegastridae",0.07,0.74,0.75,0.54,0.77,0.77
"Anthomyiidae",0.07,0.49,0.52,0.53,0.52,0.52
"Lepidostomatidae",0.06,0.59,0.61,0.58,0.73,0.64
"Physidae",0.06,0.63,0.66,0.67,0.64,0.65
"Sialidae",0.05,0.71,0.51,0.64,0.45,0.55
