"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Simuliidae",0.92,"family",0.55,0.5,0.49,0.49,0.5,0.51,0.08,0.1,0.1,0.09,0.08,0.48,0.48,0.49,0.5,0.52,0.12,0.13,0.11,0.09,0.06,0.73,0.75,0.75,0.74,0.72,0.5,0.74,0.75,0.73,0.73,0.74,1.01,1.01,1,1,0.99,1.01,1,0.98,0.99,1.02,"ANN_rand2.dev-ANN_rand5.dev",0.07
"Oligochaeta",0.87,"class",0.78,0.72,0.71,0.7,0.71,0.69,0.08,0.09,0.1,0.1,0.12,0.85,0.87,0.87,0.82,0.81,-0.09,-0.11,-0.11,-0.05,-0.03,0.66,0.66,0.69,0.67,0.7,0.5,0.74,0.73,0.77,0.76,0.76,0.94,0.92,0.92,0.94,0.94,1.11,1.11,1.12,1.13,1.07,"ANN_rand5.dev-ANN_rand2.dev",0.08
"Limoniidae",0.86,"family",0.81,0.77,0.76,0.76,0.76,0.76,0.06,0.06,0.06,0.06,0.07,0.77,0.77,0.77,0.77,0.82,0.05,0.05,0.05,0.06,-0.01,0.68,0.69,0.69,0.68,0.69,0.5,0.7,0.72,0.72,0.74,0.75,1,1,1,1,0.97,1.03,1.05,1.05,1.08,1.08,"ANN_rand4.dev-ANN_rand5.dev",0.07
"Limnephilidae",0.82,"family",0.93,0.85,0.85,0.84,0.85,0.83,0.09,0.09,0.1,0.09,0.11,1.17,1.16,1.14,1.12,1.1,-0.25,-0.25,-0.23,-0.21,-0.18,0.63,0.64,0.67,0.63,0.68,0.5,0.57,0.56,0.63,0.62,0.61,0.85,0.85,0.86,0.87,0.87,0.9,0.87,0.95,0.99,0.89,"ANN_rand5.dev-ANN_rand1.dev",0.07
"Rhyacophilidae",0.81,"family",0.98,0.91,0.92,0.91,0.92,0.93,0.07,0.07,0.07,0.06,0.05,0.83,0.84,0.84,0.86,0.89,0.15,0.15,0.14,0.12,0.09,0.68,0.68,0.68,0.66,0.66,0.5,0.77,0.77,0.77,0.74,0.74,1.04,1.04,1.03,1.03,1.02,1.14,1.12,1.13,1.11,1.13,"ANN_rand1.dev-ANN_rand5.dev",0.06
"Elmidae",0.77,"family",1.09,0.8,0.8,0.82,0.8,0.8,0.26,0.26,0.25,0.26,0.26,0.39,0.45,0.45,0.44,0.44,0.64,0.59,0.58,0.6,0.6,0.84,0.84,0.83,0.84,0.84,0.5,0.81,0.74,0.81,0.76,0.85,1.23,1.19,1.2,1.2,1.2,0.96,0.88,0.98,0.91,1.01,"ANN_rand1.dev-ANN_rand3.dev",0.06
"Gammaridae",0.74,"family",1.15,0.66,0.65,0.64,0.67,0.64,0.43,0.43,0.44,0.42,0.44,0.5,0.5,0.46,0.48,0.47,0.57,0.56,0.6,0.58,0.59,0.91,0.91,0.92,0.91,0.91,0.5,0.61,0.58,0.64,0.59,0.63,1.08,1.08,1.09,1.1,1.09,0.66,0.64,0.7,0.65,0.69,"ANN_rand3.dev-ANN_rand2.dev",0.04
"Heptageniidae",0.72,"family",1.18,0.96,0.96,0.97,0.95,0.97,0.19,0.19,0.18,0.2,0.18,1.06,1.07,1.07,1.05,1.09,0.11,0.1,0.09,0.12,0.08,0.76,0.76,0.75,0.76,0.75,0.5,0.83,0.83,0.83,0.84,0.81,0.95,0.94,0.95,0.95,0.94,1.1,1.09,1.12,1.09,1.09,"ANN_rand4.dev-ANN_rand5.dev",0.04
"Nemouridae",0.71,"family",1.21,0.79,0.78,0.8,0.78,0.79,0.35,0.36,0.34,0.36,0.35,1.14,1.08,1.04,1.05,1.1,0.06,0.11,0.14,0.13,0.09,0.84,0.85,0.84,0.84,0.84,0.5,0.84,0.85,0.84,0.85,0.84,0.84,0.86,0.89,0.87,0.86,1.01,1,1,1.01,1,"ANN_rand3.dev-ANN_rand1.dev",0.08
"Empididae",0.69,"family",1.25,1.22,1.23,1.23,1.22,1.22,0.02,0.01,0.01,0.02,0.02,1.22,1.23,1.24,1.23,1.24,0.02,0.01,0.01,0.02,0,0.59,0.57,0.59,0.58,0.59,0.5,0.64,0.63,0.64,0.63,0.64,1,1,1,1,0.99,1.08,1.1,1.08,1.09,1.09,"ANN_rand1.dev-ANN_rand5.dev",0.01
