"Taxa","Prevalence","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"Simuliidae",0.92,1.01,1.01,1,1,0.99
"Oligochaeta",0.87,0.94,0.92,0.92,0.94,0.94
"Limoniidae",0.86,1,1,1,1,0.97
"Limnephilidae",0.82,0.85,0.85,0.86,0.87,0.87
"Rhyacophilidae",0.81,1.04,1.04,1.03,1.03,1.02
"Elmidae",0.77,1.23,1.19,1.2,1.2,1.2
"Gammaridae",0.74,1.08,1.08,1.09,1.1,1.09
"Heptageniidae",0.72,0.95,0.94,0.95,0.95,0.94
"Nemouridae",0.71,0.84,0.86,0.89,0.87,0.86
"Empididae",0.69,1,1,1,1,0.99
"Hydropsychidae",0.69,1.21,1.18,1.17,1.17,1.15
"Leuctridae",0.68,0.91,0.9,0.9,0.91,0.9
"Ceratopogonidae",0.59,1.04,1.04,1.04,1.02,1.01
"Prostigmata",0.54,1.04,1.02,1.05,1.03,1.05
"Psychodidae",0.51,1.01,1.01,1,1.01,1
"Leptophlebiidae",0.45,0.92,0.93,0.95,0.93,0.94
"Sphaeriidae",0.43,0.86,0.87,0.86,0.88,0.88
"Taeniopterygidae",0.44,1.03,1.03,1.05,1.05,1.02
"Perlodidae",0.44,1.1,1.08,1.08,1.11,1.09
"Athericidae",0.36,1.06,1.05,1.06,1.08,1.06
"Psychomyiidae",0.34,0.83,0.85,0.86,0.85,0.87
"Nematoda",0.33,0.96,0.96,0.96,0.97,0.96
"Hydraenidae",0.32,1.08,1.08,1.09,1.09,1.09
"Planariidae",0.32,1.09,1.09,1.09,1.09,1.09
"Sericostomatidae",0.28,1.03,1.02,1.05,1.05,1.04
"Tipulidae",0.27,0.94,0.93,0.93,0.93,0.93
"Polycentropodidae",0.26,0.89,0.9,0.89,0.88,0.89
"Odontoceridae",0.25,0.98,1,1.01,1,1.02
"Dugesiidae",0.22,0.85,0.84,0.85,0.85,0.85
"Lymnaeidae",0.22,0.83,0.82,0.83,0.81,0.82
"Erpobdellidae",0.21,0.7,0.67,0.68,0.71,0.71
"Scirtidae",0.2,1.18,1.19,1.19,1.19,1.23
"Ephemerellidae",0.2,0.79,0.77,0.77,0.79,0.79
"Asellidae",0.19,0.76,0.75,0.74,0.75,0.75
"Ephemeridae",0.18,0.85,0.85,0.86,0.85,0.86
"Chloroperlidae",0.18,1.18,1.16,1.17,1.17,1.18
"Dytiscidae",0.16,0.94,0.94,0.94,0.95,0.94
"Stratiomyidae",0.17,1.03,1.02,1.01,1.03,1.03
"Hydroptilidae",0.16,0.71,0.69,0.69,0.69,0.71
"Hydrobiidae",0.14,0.69,0.67,0.68,0.69,0.7
"Perlidae",0.14,1.06,1.03,1.02,1.06,1.03
"Planorbidae",0.13,0.73,0.72,0.72,0.73,0.73
"Glossosomatidae",0.12,1.13,1.13,1.13,1.12,1.13
"Blephariceridae",0.12,1.29,1.29,1.28,1.29,1.29
"Glossiphoniidae",0.11,0.79,0.78,0.78,0.78,0.77
"Capniidae",0.1,1.11,1.08,1.08,1.1,1.09
"Goeridae",0.09,1,1,1.01,1,1
"Philopotamidae",0.09,1.28,1.29,1.28,1.28,1.29
"Dixidae",0.09,1.3,1.3,1.29,1.29,1.29
"Gyrinidae",0.08,0.7,0.67,0.67,0.69,0.7
"Caenidae",0.08,0.67,0.63,0.64,0.65,0.67
"Leptoceridae",0.08,0.58,0.55,0.55,0.58,0.6
"Calopterygidae",0.08,0.75,0.73,0.73,0.75,0.75
"Tabanidae",0.07,0.91,0.91,0.91,0.91,0.91
"Pediciidae",0.07,1.1,1.1,1.1,1.09,1.07
"Cordulegastridae",0.07,1.03,1.05,1.05,1.04,1.06
"Anthomyiidae",0.07,0.89,0.88,0.88,0.89,0.89
"Lepidostomatidae",0.06,0.64,0.63,0.62,0.67,0.67
"Physidae",0.06,0.9,0.91,0.91,0.9,0.89
"Sialidae",0.05,1.06,1.08,1.08,1.07,1.07
