"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"Prevalence","60","0.323","0.263","0.05","0.108","0.215","0.465","0.92"
"Taxonomic level","60","","","","","","",""
"... class","1","1.7%","","","","","",""
"... family","57","95%","","","","","",""
"... order","1","1.7%","","","","","",""
"... phylum","1","1.7%","","","","","",""
"Null_model","60","0.938","0.307","0.41","0.658","0.96","1.218","1.39"
"ANN_rand1.dev.fit","60","0.788","0.295","0.26","0.528","0.785","1.03","1.34"
"ANN_rand2.dev.fit","60","0.784","0.297","0.26","0.52","0.775","1.03","1.35"
"ANN_rand3.dev.fit","60","0.786","0.298","0.26","0.525","0.795","1.03","1.34"
"ANN_rand4.dev.fit","60","0.781","0.295","0.25","0.52","0.77","1.022","1.34"
"ANN_rand5.dev.fit","60","0.782","0.298","0.26","0.518","0.775","1.025","1.33"
"expl.pow_ANN_rand1.dev.fit","60","0.164","0.141","-0.06","0.06","0.13","0.262","0.52"
"expl.pow_ANN_rand2.dev.fit","60","0.169","0.138","-0.05","0.06","0.13","0.262","0.51"
"expl.pow_ANN_rand3.dev.fit","60","0.167","0.139","-0.06","0.06","0.125","0.272","0.52"
"expl.pow_ANN_rand4.dev.fit","60","0.172","0.139","-0.06","0.06","0.13","0.262","0.51"
"expl.pow_ANN_rand5.dev.fit","60","0.172","0.138","-0.06","0.068","0.12","0.275","0.52"
"ANN_rand1.dev.pred","60","0.91","0.368","0.06","0.638","1.04","1.22","1.41"
"ANN_rand2.dev.pred","60","0.923","0.378","0.05","0.628","1.05","1.242","1.46"
"ANN_rand3.dev.pred","60","0.921","0.375","0.06","0.628","1.025","1.232","1.46"
"ANN_rand4.dev.pred","60","0.903","0.362","0.06","0.61","1","1.23","1.36"
"ANN_rand5.dev.pred","60","0.903","0.36","0.06","0.59","1.03","1.21","1.34"
"expl.pow_ANN_rand1.dev.pred","60","-0.016","0.47","-1.52","-0.215","0.05","0.21","0.92"
"expl.pow_ANN_rand2.dev.pred","60","-0.032","0.503","-1.63","-0.208","0.07","0.21","0.93"
"expl.pow_ANN_rand3.dev.pred","60","-0.032","0.509","-1.69","-0.202","0.06","0.22","0.92"
"expl.pow_ANN_rand4.dev.pred","60","-0.009","0.468","-1.43","-0.22","0.08","0.232","0.92"
"expl.pow_ANN_rand5.dev.pred","60","-0.004","0.455","-1.36","-0.2","0.065","0.232","0.92"
"ANN_rand1.auc.fit","60","0.736","0.084","0.57","0.677","0.74","0.81","0.91"
"ANN_rand2.auc.fit","60","0.736","0.084","0.57","0.677","0.75","0.8","0.91"
"ANN_rand3.auc.fit","60","0.736","0.085","0.57","0.68","0.745","0.803","0.92"
"ANN_rand4.auc.fit","60","0.74","0.082","0.57","0.67","0.75","0.8","0.91"
"ANN_rand5.auc.fit","60","0.743","0.081","0.56","0.688","0.745","0.81","0.91"
"Null_model.auc","60","0.5","0","0.5","0.5","0.5","0.5","0.5"
"ANN_rand1.auc.pred","60","0.677","0.112","0.48","0.588","0.665","0.74","0.96"
"ANN_rand2.auc.pred","60","0.667","0.117","0.47","0.577","0.65","0.742","0.91"
"ANN_rand3.auc.pred","60","0.674","0.113","0.49","0.58","0.655","0.74","0.95"
"ANN_rand4.auc.pred","60","0.681","0.117","0.45","0.59","0.675","0.76","0.94"
"ANN_rand5.auc.pred","60","0.682","0.116","0.46","0.61","0.68","0.752","0.95"
"ANN_rand1.likelihood.ratio","60","0.956","0.169","0.58","0.847","0.97","1.06","1.3"
"ANN_rand2.likelihood.ratio","60","0.949","0.173","0.55","0.85","0.98","1.058","1.3"
"ANN_rand3.likelihood.ratio","60","0.952","0.172","0.55","0.86","0.98","1.065","1.29"
"ANN_rand4.likelihood.ratio","60","0.956","0.168","0.58","0.85","0.985","1.072","1.29"
"ANN_rand5.likelihood.ratio","60","0.956","0.165","0.6","0.86","0.965","1.062","1.29"
"ANN_rand1.auc.ratio","60","0.925","0.136","0.66","0.808","0.91","1.022","1.18"
"ANN_rand2.auc.ratio","60","0.908","0.138","0.64","0.8","0.895","1.013","1.19"
"ANN_rand3.auc.ratio","60","0.92","0.131","0.68","0.82","0.9","1.03","1.18"
"ANN_rand4.auc.ratio","60","0.923","0.146","0.65","0.815","0.92","1.04","1.24"
"ANN_rand5.auc.ratio","60","0.922","0.14","0.64","0.79","0.925","1.025","1.17"
"Big.pred.expl.pow.diff","60","0.072","0.067","0.01","0.03","0.06","0.09","0.38"
