"Taxa","Prevalence","Taxonomic level","Null_model","iGLM.dev.fit","hGLM.dev.fit","chGLM.dev.fit","GAM.dev.fit","SVM.dev.fit","BCT.dev.fit","RF.dev.fit","ANN.dev.fit","expl.pow_iGLM.dev.fit","expl.pow_hGLM.dev.fit","expl.pow_chGLM.dev.fit","expl.pow_GAM.dev.fit","expl.pow_SVM.dev.fit","expl.pow_BCT.dev.fit","expl.pow_RF.dev.fit","expl.pow_ANN.dev.fit","iGLM.dev.pred","hGLM.dev.pred","chGLM.dev.pred","GAM.dev.pred","SVM.dev.pred","BCT.dev.pred","RF.dev.pred","ANN.dev.pred","expl.pow_iGLM.dev.pred","expl.pow_hGLM.dev.pred","expl.pow_chGLM.dev.pred","expl.pow_GAM.dev.pred","expl.pow_SVM.dev.pred","expl.pow_BCT.dev.pred","expl.pow_RF.dev.pred","expl.pow_ANN.dev.pred","iGLM.auc.fit","hGLM.auc.fit","chGLM.auc.fit","GAM.auc.fit","SVM.auc.fit","BCT.auc.fit","RF.auc.fit","ANN.auc.fit","Null_model.auc","iGLM.auc.pred","hGLM.auc.pred","chGLM.auc.pred","GAM.auc.pred","SVM.auc.pred","BCT.auc.pred","RF.auc.pred","ANN.auc.pred","iGLM.likelihood.ratio","hGLM.likelihood.ratio","chGLM.likelihood.ratio","GAM.likelihood.ratio","SVM.likelihood.ratio","BCT.likelihood.ratio","RF.likelihood.ratio","ANN.likelihood.ratio","iGLM.auc.ratio","hGLM.auc.ratio","chGLM.auc.ratio","GAM.auc.ratio","SVM.auc.ratio","BCT.auc.ratio","RF.auc.ratio","ANN.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff","chGLM.model.diff","chGLM.pred.expl.pow.diff"
"Simuliidae",0.92,"family",0.55,0.49,0.49,0.49,0.46,0.5,0.45,0.14,0.5,0.11,0.1,0.1,0.17,0.1,0.19,0.75,0.09,0.5,0.5,0.51,0.5,0.54,0.5,0.52,0.51,0.09,0.08,0.08,0.08,0.01,0.09,0.05,0.08,0.76,0.75,0.75,0.8,0.9,0.83,1,0.74,0.5,0.73,0.72,0.73,0.74,0.66,0.73,0.73,0.72,0.99,0.99,0.99,0.98,0.98,0.97,0.83,1,0.96,0.97,0.97,0.92,0.73,0.88,0.73,0.98,"iGLM.dev-SVM.dev",0.07,"iGLM.dev-chGLM",0.01
"Oligochaeta",0.87,"class",0.78,0.72,0.73,0.73,0.67,0.68,0.61,0.19,0.72,0.08,0.07,0.07,0.14,0.13,0.21,0.76,0.08,0.74,0.74,0.74,0.72,0.75,0.7,0.71,0.73,0.05,0.05,0.05,0.08,0.03,0.1,0.09,0.06,0.7,0.7,0.7,0.77,0.87,0.85,1,0.71,0.5,0.67,0.67,0.67,0.72,0.7,0.73,0.72,0.69,0.99,0.99,0.99,0.98,0.96,0.96,0.77,0.99,0.95,0.95,0.96,0.93,0.8,0.86,0.72,0.97,"BCT.dev-SVM.dev",0.07,"BCT.dev-chGLM",0.05
"Limoniidae",0.86,"family",0.81,0.76,0.76,0.76,0.72,0.74,0.7,0.21,0.76,0.07,0.06,0.06,0.12,0.08,0.14,0.74,0.06,0.78,0.78,0.78,0.76,0.79,0.77,0.79,0.77,0.04,0.04,0.04,0.06,0.02,0.06,0.03,0.05,0.68,0.67,0.68,0.74,0.83,0.78,1,0.67,0.5,0.66,0.66,0.65,0.68,0.59,0.68,0.68,0.65,0.99,0.99,0.99,0.98,0.98,0.97,0.75,0.99,0.96,0.98,0.97,0.93,0.71,0.87,0.68,0.98,"GAM.dev-SVM.dev",0.03,"GAM.dev-chGLM",0.02
"Limnephilidae",0.82,"family",0.93,0.87,0.87,0.88,0.82,0.83,0.78,0.26,0.89,0.07,0.06,0.06,0.12,0.11,0.17,0.73,0.05,0.89,0.9,0.9,0.88,0.89,0.85,0.86,0.9,0.04,0.04,0.03,0.06,0.04,0.08,0.08,0.03,0.69,0.68,0.68,0.74,0.84,0.81,1,0.66,0.5,0.66,0.66,0.66,0.69,0.66,0.71,0.71,0.66,0.99,0.99,0.99,0.97,0.97,0.96,0.74,0.99,0.97,0.97,0.97,0.93,0.79,0.88,0.71,1,"BCT.dev-chGLM.dev",0.05,"BCT.dev-chGLM",0.05
"Rhyacophilidae",0.81,"family",0.98,0.88,0.89,0.88,0.84,0.83,0.79,0.25,0.91,0.1,0.1,0.1,0.15,0.15,0.19,0.74,0.07,0.91,0.92,0.9,0.9,0.93,0.88,0.91,0.93,0.08,0.07,0.08,0.09,0.05,0.1,0.07,0.05,0.72,0.71,0.71,0.75,0.82,0.8,1,0.66,0.5,0.71,0.7,0.7,0.71,0.69,0.72,0.72,0.66,0.99,0.99,0.99,0.97,0.95,0.96,0.72,0.99,0.99,0.99,0.99,0.95,0.83,0.9,0.72,1,"BCT.dev-ANN.dev",0.05,"BCT.dev-chGLM",0.02
"Elmidae",0.77,"family",1.09,0.69,0.7,0.7,0.64,0.65,0.6,0.18,0.72,0.36,0.35,0.35,0.41,0.41,0.44,0.83,0.34,0.71,0.71,0.71,0.69,0.72,0.68,0.68,0.73,0.35,0.34,0.35,0.37,0.33,0.38,0.37,0.33,0.87,0.87,0.87,0.89,0.91,0.92,1,0.85,0.5,0.87,0.87,0.87,0.88,0.85,0.88,0.88,0.85,0.99,0.99,1,0.98,0.96,0.96,0.78,1,1,1,1,0.98,0.94,0.97,0.88,1,"BCT.dev-ANN.dev",0.05,"BCT.dev-chGLM",0.03
"Gammaridae",0.74,"family",1.15,0.62,0.63,0.63,0.55,0.56,0.51,0.14,0.62,0.46,0.45,0.45,0.53,0.52,0.55,0.88,0.46,0.63,0.64,0.64,0.59,0.63,0.59,0.57,0.62,0.45,0.45,0.44,0.49,0.45,0.49,0.5,0.46,0.9,0.9,0.9,0.93,0.94,0.94,1,0.91,0.5,0.89,0.89,0.89,0.92,0.91,0.92,0.92,0.91,0.99,1,1,0.98,0.96,0.96,0.81,1,1,1,1,0.99,0.97,0.97,0.92,1,"RF.dev-chGLM.dev",0.06,"RF.dev-chGLM",0.06
"Heptageniidae",0.72,"family",1.18,0.96,0.97,0.97,0.91,0.9,0.82,0.25,0.97,0.19,0.18,0.18,0.23,0.24,0.31,0.79,0.18,0.99,1,1,0.99,0.99,0.96,0.92,0.98,0.16,0.16,0.16,0.16,0.16,0.19,0.22,0.17,0.78,0.78,0.78,0.81,0.83,0.87,1,0.77,0.5,0.77,0.76,0.77,0.77,0.77,0.79,0.81,0.77,0.98,0.99,0.99,0.96,0.95,0.93,0.72,1,0.98,0.98,0.99,0.96,0.93,0.91,0.81,0.99,"RF.dev-hGLM.dev",0.06,"RF.dev-chGLM",0.06
"Nemouridae",0.71,"family",1.21,0.83,0.84,0.84,0.78,0.79,0.69,0.22,0.84,0.32,0.31,0.31,0.36,0.35,0.43,0.82,0.31,0.86,0.86,0.86,0.84,0.87,0.83,0.82,0.87,0.29,0.29,0.29,0.31,0.28,0.31,0.32,0.28,0.86,0.86,0.86,0.88,0.88,0.91,1,0.86,0.5,0.85,0.85,0.85,0.86,0.85,0.86,0.86,0.85,0.99,0.99,0.99,0.97,0.96,0.93,0.74,0.98,0.99,0.99,1,0.98,0.97,0.95,0.87,0.99,"RF.dev-SVM.dev",0.04,"RF.dev-chGLM",0.03
"Empididae",0.69,"family",1.25,1.22,1.23,1.23,1.17,1.15,1.08,0.38,1.22,0.02,0.02,0.02,0.06,0.08,0.13,0.7,0.02,1.24,1.24,1.25,1.22,1.23,1.2,1.21,1.24,0,0,0,0.02,0.02,0.04,0.03,0.01,0.6,0.59,0.59,0.67,0.77,0.77,1,0.59,0.5,0.57,0.58,0.55,0.62,0.62,0.64,0.65,0.57,0.99,0.99,0.99,0.98,0.96,0.94,0.66,0.99,0.95,0.97,0.93,0.92,0.81,0.82,0.65,0.98,"BCT.dev-chGLM.dev",0.04,"BCT.dev-chGLM",0.04
