"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"Prevalence","60","0.323","0.263","0.05","0.108","0.215","0.465","0.92"
"Taxonomic level","60","","","","","","",""
"... class","1","1.7%","","","","","",""
"... family","57","95%","","","","","",""
"... order","1","1.7%","","","","","",""
"... phylum","1","1.7%","","","","","",""
"Null_model","60","0.938","0.307","0.41","0.658","0.96","1.218","1.39"
"iGLM.dev.fit","60","0.785","0.283","0.36","0.49","0.79","1.035","1.33"
"hGLM.dev.fit","60","0.791","0.282","0.37","0.498","0.8","1.042","1.33"
"chGLM.dev.fit","60","0.792","0.282","0.37","0.498","0.8","1.042","1.33"
"GAM.dev.fit","60","0.74","0.278","0.32","0.458","0.75","0.985","1.28"
"SVM.dev.fit","60","0.753","0.253","0.33","0.522","0.765","0.982","1.2"
"BCT.dev.fit","60","0.697","0.255","0.31","0.458","0.705","0.903","1.2"
"RF.dev.fit","60","0.22","0.094","0.08","0.14","0.21","0.283","0.43"
"ANN.dev.fit","60","0.8","0.278","0.38","0.5","0.795","1.032","1.32"
"expl.pow_iGLM.dev.fit","60","0.166","0.1","0.02","0.08","0.155","0.24","0.46"
"expl.pow_hGLM.dev.fit","60","0.158","0.099","0.02","0.07","0.145","0.232","0.45"
"expl.pow_chGLM.dev.fit","60","0.156","0.099","0.02","0.07","0.145","0.23","0.45"
"expl.pow_GAM.dev.fit","60","0.216","0.105","0.05","0.138","0.2","0.283","0.53"
"expl.pow_SVM.dev.fit","60","0.192","0.1","0.04","0.117","0.175","0.26","0.52"
"expl.pow_BCT.dev.fit","60","0.257","0.108","0.05","0.188","0.25","0.312","0.55"
"expl.pow_RF.dev.fit","60","0.771","0.043","0.66","0.74","0.78","0.8","0.88"
"expl.pow_ANN.dev.fit","60","0.144","0.1","0.01","0.06","0.14","0.205","0.46"
"iGLM.dev.pred","60","0.803","0.284","0.38","0.5","0.81","1.06","1.35"
"hGLM.dev.pred","60","0.808","0.284","0.39","0.508","0.815","1.062","1.35"
"chGLM.dev.pred","60","0.807","0.285","0.38","0.508","0.82","1.06","1.35"
"GAM.dev.pred","60","0.792","0.277","0.39","0.5","0.8","1.04","1.32"
"SVM.dev.pred","60","0.834","0.26","0.41","0.573","0.86","1.062","1.3"
"BCT.dev.pred","60","0.78","0.271","0.38","0.5","0.795","1.025","1.3"
"RF.dev.pred","60","0.77","0.265","0.37","0.542","0.765","0.985","1.28"
"ANN.dev.pred","60","0.812","0.277","0.39","0.51","0.8","1.053","1.34"
"expl.pow_iGLM.dev.pred","60","0.142","0.1","-0.01","0.057","0.13","0.22","0.45"
"expl.pow_hGLM.dev.pred","60","0.139","0.1","-0.02","0.05","0.12","0.212","0.45"
"expl.pow_chGLM.dev.pred","60","0.138","0.1","-0.03","0.057","0.125","0.21","0.44"
"expl.pow_GAM.dev.pred","60","0.154","0.102","-0.03","0.068","0.145","0.22","0.49"
"expl.pow_SVM.dev.pred","60","0.099","0.095","-0.04","0.028","0.065","0.143","0.45"
"expl.pow_BCT.dev.pred","60","0.166","0.099","0","0.09","0.15","0.23","0.49"
"expl.pow_RF.dev.pred","60","0.174","0.111","-0.03","0.088","0.18","0.25","0.5"
"expl.pow_ANN.dev.pred","60","0.132","0.099","-0.02","0.05","0.125","0.188","0.46"
"iGLM.auc.fit","60","0.765","0.08","0.6","0.7","0.77","0.83","0.92"
"hGLM.auc.fit","60","0.76","0.082","0.59","0.697","0.76","0.823","0.92"
"chGLM.auc.fit","60","0.759","0.083","0.59","0.7","0.76","0.823","0.92"
"GAM.auc.fit","60","0.805","0.071","0.65","0.748","0.8","0.863","0.93"
"SVM.auc.fit","60","0.858","0.053","0.74","0.827","0.87","0.9","0.95"
"BCT.auc.fit","60","0.844","0.059","0.67","0.8","0.85","0.883","0.94"
"RF.auc.fit","60","1","0.001","0.99","1","1","1","1"
"ANN.auc.fit","60","0.743","0.088","0.57","0.677","0.745","0.812","0.91"
"Null_model.auc","60","0.5","0","0.5","0.5","0.5","0.5","0.5"
"iGLM.auc.pred","60","0.75","0.085","0.57","0.688","0.76","0.82","0.91"
"hGLM.auc.pred","60","0.745","0.087","0.55","0.677","0.745","0.81","0.91"
"chGLM.auc.pred","60","0.745","0.089","0.52","0.677","0.75","0.812","0.91"
"GAM.auc.pred","60","0.763","0.08","0.59","0.708","0.77","0.83","0.92"
"SVM.auc.pred","60","0.722","0.081","0.57","0.668","0.73","0.78","0.91"
"BCT.auc.pred","60","0.771","0.077","0.56","0.71","0.77","0.83","0.92"
"RF.auc.pred","60","0.782","0.073","0.61","0.72","0.785","0.84","0.92"
"ANN.auc.pred","60","0.734","0.092","0.51","0.668","0.745","0.803","0.91"
"iGLM.likelihood.ratio","60","0.99","0.003","0.98","0.99","0.99","0.99","1"
"hGLM.likelihood.ratio","60","0.991","0.004","0.98","0.99","0.99","0.99","1"
"chGLM.likelihood.ratio","60","0.992","0.004","0.98","0.99","0.99","0.99","1"
"GAM.likelihood.ratio","60","0.974","0.006","0.96","0.97","0.975","0.98","0.98"
"SVM.likelihood.ratio","60","0.961","0.014","0.93","0.95","0.96","0.97","0.99"
"BCT.likelihood.ratio","60","0.959","0.014","0.93","0.95","0.96","0.97","0.99"
"RF.likelihood.ratio","60","0.762","0.067","0.65","0.708","0.76","0.823","0.87"
"ANN.likelihood.ratio","60","0.994","0.005","0.98","0.99","0.99","1","1"
"iGLM.auc.ratio","60","0.979","0.016","0.89","0.98","0.98","0.99","1"
"hGLM.auc.ratio","60","0.981","0.019","0.86","0.98","0.985","0.99","1"
"chGLM.auc.ratio","60","0.982","0.023","0.84","0.98","0.99","0.99","1"
"GAM.auc.ratio","60","0.947","0.029","0.81","0.93","0.95","0.97","0.99"
"SVM.auc.ratio","60","0.844","0.085","0.62","0.798","0.85","0.903","0.97"
"BCT.auc.ratio","60","0.911","0.04","0.74","0.89","0.91","0.942","0.97"
"RF.auc.ratio","60","0.783","0.074","0.61","0.72","0.785","0.84","0.92"
"ANN.auc.ratio","60","0.988","0.017","0.89","0.98","0.99","1","1.01"
"Big.pred.expl.pow.diff","60","0.09","0.045","0.03","0.05","0.08","0.12","0.21"
"chGLM.model.diff","60","","","","","","",""
"... BCT.dev-chGLM","13","21.7%","","","","","",""
"... GAM.dev-chGLM","4","6.7%","","","","","",""
"... hGLM.dev-chGLM","1","1.7%","","","","","",""
"... iGLM.dev-chGLM","3","5%","","","","","",""
"... RF.dev-chGLM","39","65%","","","","","",""
"chGLM.pred.expl.pow.diff","60","0.044","0.03","0","0.02","0.04","0.062","0.12"
