"Taxa","Prevalence","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN"
"Simuliidae",0.92,0.75,0.74,0.75,0.79,0.89,0.86,1,0.71
"Oligochaeta",0.87,0.7,0.69,0.69,0.76,0.88,0.85,1,0.71
"Limoniidae",0.86,0.68,0.67,0.67,0.73,0.8,0.79,1,0.65
"Limnephilidae",0.82,0.68,0.68,0.68,0.73,0.82,0.82,1,0.66
"Rhyacophilidae",0.81,0.71,0.71,0.71,0.75,0.8,0.79,1,0.66
"Elmidae",0.77,0.87,0.87,0.87,0.89,0.9,0.91,1,0.85
"Gammaridae",0.74,0.9,0.9,0.9,0.93,0.94,0.95,1,0.91
"Heptageniidae",0.72,0.78,0.78,0.78,0.8,0.84,0.87,1,0.76
"Nemouridae",0.71,0.86,0.86,0.86,0.87,0.87,0.91,1,0.85
"Empididae",0.69,0.6,0.59,0.6,0.66,0.75,0.76,1,0.59
"Hydropsychidae",0.69,0.82,0.82,0.82,0.85,0.88,0.88,1,0.77
"Leuctridae",0.68,0.85,0.85,0.85,0.87,0.86,0.9,1,0.84
"Ceratopogonidae",0.59,0.72,0.72,0.72,0.75,0.79,0.8,0.99,0.71
"Prostigmata",0.54,0.69,0.68,0.68,0.71,0.77,0.76,1,0.68
"Psychodidae",0.51,0.64,0.64,0.63,0.68,0.74,0.75,0.99,0.65
"Leptophlebiidae",0.45,0.75,0.75,0.74,0.78,0.82,0.82,1,0.73
"Sphaeriidae",0.43,0.81,0.81,0.81,0.82,0.85,0.85,1,0.8
"Taeniopterygidae",0.44,0.77,0.77,0.77,0.8,0.84,0.85,1,0.7
"Perlodidae",0.44,0.82,0.82,0.82,0.84,NA,0.87,1,0.81
"Athericidae",0.36,0.76,0.76,0.76,0.8,0.82,0.84,1,0.74
"Psychomyiidae",0.34,0.73,0.73,0.72,0.77,0.81,0.82,1,0.75
"Nematoda",0.33,0.61,0.61,0.6,0.65,0.73,0.73,0.99,0.63
"Hydraenidae",0.32,0.73,0.72,0.73,0.76,0.8,0.81,1,0.73
"Planariidae",0.32,0.67,0.67,0.67,0.71,0.78,0.8,1,0.64
"Sericostomatidae",0.28,0.69,0.68,0.68,0.73,0.79,0.8,1,0.71
"Tipulidae",0.27,0.62,0.61,0.61,0.63,0.72,0.69,0.99,0.61
"Polycentropodidae",0.26,0.64,0.64,0.64,0.72,0.8,0.8,1,0.64
"Odontoceridae",0.25,0.71,0.7,0.71,0.76,0.8,0.82,1,0.69
"Dugesiidae",0.22,0.67,0.67,0.66,0.71,0.79,0.79,1,0.68
"Lymnaeidae",0.22,0.73,0.73,0.73,0.76,0.82,0.81,1,0.72
"Erpobdellidae",0.21,0.82,0.82,0.82,0.84,0.85,0.88,1,0.82
"Scirtidae",0.2,0.74,0.74,0.74,0.77,0.8,0.79,1,0.73
"Ephemerellidae",0.2,0.79,0.79,0.79,0.82,0.86,0.87,1,0.77
"Asellidae",0.19,0.84,0.83,0.84,0.85,0.85,0.88,1,0.83
"Ephemeridae",0.18,0.75,0.75,0.74,0.79,0.86,0.85,1,0.77
"Chloroperlidae",0.18,0.84,0.83,0.83,0.86,0.86,0.89,1,0.81
"Dytiscidae",0.16,0.65,0.64,0.64,0.71,0.83,0.78,1,0.65
"Stratiomyidae",0.17,0.66,0.65,0.65,0.71,0.75,0.79,1,0.66
"Hydroptilidae",0.16,0.77,0.77,0.77,0.79,0.83,0.83,1,0.77
"Hydrobiidae",0.14,0.83,0.83,0.83,0.85,0.84,0.88,1,0.83
"Perlidae",0.14,0.85,0.84,0.84,0.88,0.91,0.91,1,0.84
"Planorbidae",0.13,0.81,0.81,0.81,0.83,0.86,0.84,1,0.8
"Glossosomatidae",0.12,0.76,0.76,0.76,0.8,0.89,0.86,1,0.73
"Blephariceridae",0.12,0.92,0.92,0.92,0.93,0.89,0.92,1,0.9
"Glossiphoniidae",0.11,0.82,0.82,0.81,0.84,0.88,0.89,1,0.79
"Capniidae",0.1,0.89,0.88,0.88,0.91,0.92,0.94,1,0.89
"Goeridae",0.09,0.7,0.69,0.69,0.73,0.85,0.84,1,0.63
"Philopotamidae",0.09,0.87,0.87,0.87,0.89,0.88,0.9,1,0.85
"Dixidae",0.09,0.86,0.86,0.86,0.88,0.89,0.92,1,0.84
"Gyrinidae",0.08,0.84,0.84,0.84,0.87,0.91,0.92,1,0.82
"Caenidae",0.08,0.84,0.84,0.84,0.87,0.9,0.92,1,0.79
"Leptoceridae",0.08,0.86,0.86,0.86,0.88,0.94,0.93,1,0.82
"Calopterygidae",0.08,0.82,0.81,0.81,0.85,0.91,0.89,1,0.82
"Tabanidae",0.07,0.71,0.7,0.71,0.78,0.88,0.78,1,0.74
"Pediciidae",0.07,0.77,0.76,0.76,0.86,0.94,0.9,1,0.69
"Cordulegastridae",0.07,0.79,0.78,0.79,0.82,0.91,0.85,1,0.76
"Anthomyiidae",0.07,0.64,0.64,0.63,0.7,0.84,0.67,1,0.57
"Lepidostomatidae",0.06,0.81,0.8,0.8,0.87,0.91,0.9,1,0.79
"Physidae",0.06,0.81,0.81,0.81,0.85,0.93,0.82,1,0.78
"Sialidae",0.05,0.74,0.74,0.73,0.78,0.9,0.76,1,0.66
