"iGLM.dev.pred","hGLM.dev.pred","chGLM.dev.pred","GAM.dev.pred","SVM.dev.pred","BCT.dev.pred","RF.dev.pred","ANN.dev.pred","Taxa","Prevalence","Taxonomic level","Null_model","expl.pow_iGLM","expl.pow_hGLM","expl.pow_chGLM","expl.pow_GAM","expl.pow_SVM","expl.pow_BCT","expl.pow_RF","expl.pow_ANN","iGLM.auc.pred","hGLM.auc.pred","chGLM.auc.pred","GAM.auc.pred","SVM.auc.pred","BCT.auc.pred","RF.auc.pred","ANN.auc.pred","Null_model.auc"
0.49,0.49,0.49,0.47,0.52,0.43,0.14,0.51,"Simuliidae",0.92,"family",0.55,0.11,0.1,0.1,0.15,0.05,0.21,0.74,0.08,0.75,0.74,0.75,0.79,0.89,0.86,1,0.71,0.5
0.72,0.73,0.73,0.68,0.68,0.6,0.19,0.71,"Oligochaeta",0.87,"class",0.78,0.07,0.07,0.07,0.13,0.13,0.23,0.76,0.09,0.7,0.69,0.69,0.76,0.88,0.85,1,0.71,0.5
0.76,0.77,0.76,0.73,0.77,0.7,0.21,0.77,"Limoniidae",0.86,"family",0.81,0.06,0.06,0.06,0.1,0.05,0.14,0.74,0.05,0.68,0.67,0.67,0.73,0.8,0.79,1,0.65,0.5
0.87,0.88,0.88,0.83,0.83,0.74,0.26,0.89,"Limnephilidae",0.82,"family",0.93,0.06,0.06,0.06,0.11,0.11,0.2,0.73,0.05,0.68,0.68,0.68,0.73,0.82,0.82,1,0.66,0.5
0.88,0.89,0.89,0.85,0.85,0.81,0.26,0.92,"Rhyacophilidae",0.81,"family",0.98,0.1,0.1,0.1,0.14,0.13,0.18,0.74,0.06,0.71,0.71,0.71,0.75,0.8,0.79,1,0.66,0.5
0.7,0.7,0.7,0.65,0.66,0.62,0.18,0.73,"Elmidae",0.77,"family",1.09,0.36,0.35,0.35,0.4,0.39,0.43,0.83,0.33,0.87,0.87,0.87,0.89,0.9,0.91,1,0.85,0.5
0.63,0.63,0.63,0.55,0.57,0.49,0.14,0.61,"Gammaridae",0.74,"family",1.15,0.46,0.45,0.45,0.52,0.51,0.57,0.88,0.47,0.9,0.9,0.9,0.93,0.94,0.95,1,0.91,0.5
0.97,0.97,0.97,0.93,0.89,0.82,0.25,0.99,"Heptageniidae",0.72,"family",1.18,0.18,0.18,0.18,0.22,0.25,0.31,0.79,0.16,0.78,0.78,0.78,0.8,0.84,0.87,1,0.76,0.5
0.83,0.84,0.84,0.79,0.82,0.69,0.24,0.85,"Nemouridae",0.71,"family",1.21,0.31,0.31,0.31,0.35,0.32,0.43,0.81,0.3,0.86,0.86,0.86,0.87,0.87,0.91,1,0.85,0.5
1.22,1.23,1.23,1.18,1.16,1.09,0.38,1.23,"Empididae",0.69,"family",1.25,0.02,0.02,0.02,0.05,0.07,0.12,0.69,0.02,0.6,0.59,0.6,0.66,0.75,0.76,1,0.59,0.5
0.91,0.92,0.91,0.85,0.85,0.79,0.23,0.97,"Hydropsychidae",0.69,"family",1.24,0.27,0.26,0.26,0.31,0.32,0.37,0.82,0.22,0.82,0.82,0.82,0.85,0.88,0.88,1,0.77,0.5
0.88,0.88,0.89,0.84,0.85,0.74,0.22,0.89,"Leuctridae",0.68,"family",1.26,0.3,0.3,0.3,0.33,0.32,0.41,0.82,0.29,0.85,0.85,0.85,0.87,0.86,0.9,1,0.84,0.5
1.2,1.2,1.2,1.16,1.11,1.07,0.38,1.2,"Ceratopogonidae",0.59,"family",1.35,0.11,0.11,0.11,0.14,0.18,0.21,0.72,0.11,0.72,0.72,0.72,0.75,0.79,0.8,0.99,0.71,0.5
1.27,1.27,1.27,1.23,1.17,1.17,0.41,1.28,"Prostigmata",0.54,"order",1.38,0.08,0.08,0.08,0.11,0.15,0.15,0.7,0.08,0.69,0.68,0.68,0.71,0.77,0.76,1,0.68,0.5
1.33,1.33,1.34,1.29,1.22,1.21,0.44,1.32,"Psychodidae",0.51,"family",1.39,0.04,0.04,0.04,0.07,0.12,0.13,0.68,0.05,0.64,0.64,0.63,0.68,0.74,0.75,0.99,0.65,0.5
1.16,1.16,1.17,1.12,1.05,1.05,0.31,1.18,"Leptophlebiidae",0.45,"family",1.38,0.16,0.16,0.15,0.19,0.23,0.24,0.78,0.14,0.75,0.75,0.74,0.78,0.82,0.82,1,0.73,0.5
1.05,1.05,1.05,1.01,0.98,0.93,0.31,1.05,"Sphaeriidae",0.43,"family",1.37,0.23,0.23,0.23,0.26,0.29,0.32,0.77,0.23,0.81,0.81,0.81,0.82,0.85,0.85,1,0.8,0.5
1.14,1.15,1.15,1.08,1,0.97,0.3,1.23,"Taeniopterygidae",0.44,"family",1.37,0.17,0.16,0.16,0.21,0.27,0.29,0.78,0.1,0.77,0.77,0.77,0.8,0.84,0.85,1,0.7,0.5
1.04,1.04,1.04,0.99,NA,0.92,0.28,1.04,"Perlodidae",0.44,"family",1.37,0.24,0.24,0.24,0.28,NA,0.33,0.8,0.24,0.82,0.82,0.82,0.84,NA,0.87,1,0.81,0.5
1.1,1.1,1.1,1.04,1.04,0.97,0.3,1.12,"Athericidae",0.36,"family",1.31,0.16,0.16,0.16,0.2,0.21,0.26,0.77,0.14,0.76,0.76,0.76,0.8,0.82,0.84,1,0.74,0.5
1.11,1.11,1.11,1.05,1.05,0.98,0.31,1.08,"Psychomyiidae",0.34,"family",1.28,0.14,0.13,0.13,0.18,0.18,0.24,0.76,0.16,0.73,0.73,0.72,0.77,0.81,0.82,1,0.75,0.5
1.24,1.24,1.24,1.21,1.17,1.14,0.41,1.23,"Nematoda",0.33,"phylum",1.27,0.02,0.02,0.02,0.05,0.08,0.1,0.68,0.03,0.61,0.61,0.6,0.65,0.73,0.73,0.99,0.63,0.5
1.11,1.11,1.11,1.06,1.06,0.99,0.34,1.11,"Hydraenidae",0.32,"family",1.25,0.11,0.11,0.11,0.15,0.15,0.21,0.73,0.11,0.73,0.72,0.73,0.76,0.8,0.81,1,0.73,0.5
1.17,1.18,1.18,1.13,1.1,1.01,0.34,1.2,"Planariidae",0.32,"family",1.26,0.07,0.06,0.06,0.1,0.12,0.19,0.73,0.04,0.67,0.67,0.67,0.71,0.78,0.8,1,0.64,0.5
1.09,1.09,1.09,1.04,1.03,0.95,0.29,1.06,"Sericostomatidae",0.28,"family",1.18,0.08,0.07,0.07,0.12,0.13,0.19,0.75,0.1,0.69,0.68,0.68,0.73,0.79,0.8,1,0.71,0.5
1.14,1.15,1.15,1.13,1.11,1.1,0.4,1.15,"Tipulidae",0.27,"family",1.18,0.03,0.02,0.03,0.04,0.06,0.07,0.66,0.02,0.62,0.61,0.61,0.63,0.72,0.69,0.99,0.61,0.5
1.09,1.09,1.09,1.02,0.99,0.93,0.29,1.08,"Polycentropodidae",0.26,"family",1.14,0.05,0.04,0.04,0.1,0.13,0.18,0.75,0.06,0.64,0.64,0.64,0.72,0.8,0.8,1,0.64,0.5
1.01,1.02,1.02,0.95,0.99,0.88,0.27,1.03,"Odontoceridae",0.25,"family",1.12,0.09,0.09,0.09,0.15,0.11,0.21,0.76,0.08,0.71,0.7,0.71,0.76,0.8,0.82,1,0.69,0.5
