"Taxa","Prevalence"
"Simuliidae",0.92
"Oligochaeta",0.87
"Limoniidae",0.86
"Limnephilidae",0.82
"Rhyacophilidae",0.81
"Elmidae",0.77
"Gammaridae",0.74
"Heptageniidae",0.72
"Nemouridae",0.71
"Empididae",0.69
"Hydropsychidae",0.69
"Leuctridae",0.68
"Ceratopogonidae",0.59
"Prostigmata",0.54
"Psychodidae",0.51
"Leptophlebiidae",0.45
"Sphaeriidae",0.43
"Taeniopterygidae",0.44
"Perlodidae",0.44
"Athericidae",0.36
"Psychomyiidae",0.34
"Nematoda",0.33
"Hydraenidae",0.32
"Planariidae",0.32
"Sericostomatidae",0.28
"Tipulidae",0.27
"Polycentropodidae",0.26
"Odontoceridae",0.25
"Dugesiidae",0.22
"Lymnaeidae",0.22
"Erpobdellidae",0.21
"Scirtidae",0.2
"Ephemerellidae",0.2
"Asellidae",0.19
"Ephemeridae",0.18
"Chloroperlidae",0.18
"Dytiscidae",0.16
"Stratiomyidae",0.17
"Hydroptilidae",0.16
"Hydrobiidae",0.14
"Perlidae",0.14
"Planorbidae",0.13
"Glossosomatidae",0.12
"Blephariceridae",0.12
"Glossiphoniidae",0.11
"Capniidae",0.1
"Goeridae",0.09
"Philopotamidae",0.09
"Dixidae",0.09
"Gyrinidae",0.08
"Caenidae",0.08
"Leptoceridae",0.08
"Calopterygidae",0.08
"Tabanidae",0.07
"Pediciidae",0.07
"Cordulegastridae",0.07
"Anthomyiidae",0.07
"Lepidostomatidae",0.06
"Physidae",0.06
"Sialidae",0.05
