"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"iGLM.dev.pred","60","0.788","0.283","0.36","0.49","0.8","1.042","1.33"
"hGLM.dev.pred","60","0.792","0.283","0.37","0.498","0.8","1.042","1.33"
"chGLM.dev.pred","60","0.793","0.283","0.37","0.49","0.8","1.042","1.34"
"GAM.dev.pred","60","0.75","0.278","0.33","0.467","0.76","0.995","1.29"
"SVM.dev.pred","59","0.76","0.252","0.35","0.525","0.78","0.985","1.22"
"BCT.dev.pred","60","0.697","0.256","0.32","0.467","0.695","0.923","1.21"
"RF.dev.pred","60","0.22","0.094","0.08","0.14","0.21","0.283","0.44"
"ANN.dev.pred","60","0.799","0.279","0.38","0.508","0.795","1.035","1.33"
"Prevalence","60","0.323","0.263","0.05","0.108","0.215","0.465","0.92"
"Taxonomic level","60","","","","","","",""
"... class","1","1.7%","","","","","",""
"... family","57","95%","","","","","",""
"... order","1","1.7%","","","","","",""
"... phylum","1","1.7%","","","","","",""
"Null_model","60","0.938","0.307","0.41","0.658","0.96","1.218","1.39"
"expl.pow_iGLM","60","0.161","0.099","0.02","0.08","0.145","0.232","0.46"
"expl.pow_hGLM","60","0.157","0.099","0.02","0.07","0.145","0.23","0.45"
"expl.pow_chGLM","60","0.157","0.099","0.02","0.07","0.14","0.23","0.45"
"expl.pow_GAM","60","0.204","0.103","0.04","0.12","0.19","0.27","0.52"
"expl.pow_SVM","59","0.176","0.101","0.05","0.105","0.14","0.245","0.51"
"expl.pow_BCT","60","0.257","0.107","0.03","0.18","0.24","0.33","0.57"
"expl.pow_RF","60","0.769","0.043","0.66","0.74","0.775","0.8","0.88"
"expl.pow_ANN","60","0.147","0.1","0","0.068","0.135","0.212","0.46"
"iGLM.auc.pred","60","0.763","0.081","0.6","0.7","0.765","0.823","0.92"
"hGLM.auc.pred","60","0.759","0.082","0.59","0.69","0.76","0.823","0.92"
"chGLM.auc.pred","60","0.759","0.083","0.6","0.69","0.76","0.823","0.92"
"GAM.auc.pred","60","0.797","0.072","0.63","0.745","0.8","0.852","0.93"
"SVM.auc.pred","59","0.847","0.056","0.72","0.8","0.85","0.89","0.94"
"BCT.auc.pred","60","0.842","0.062","0.67","0.8","0.85","0.89","0.95"
"RF.auc.pred","60","0.999","0.003","0.99","1","1","1","1"
"ANN.auc.pred","60","0.747","0.087","0.55","0.68","0.745","0.82","0.91"
"Null_model.auc","60","0.5","0","0.5","0.5","0.5","0.5","0.5"
