"Taxa","Prevalence","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN"
"Simuliidae",0.92,0.73,0.72,0.72,0.67,0.6,0.73,0.75,0.75
"Oligochaeta",0.87,0.75,0.74,0.73,0.68,0.79,0.77,0.79,0.61
"Limoniidae",0.86,0.7,0.7,0.69,0.59,0.65,0.73,0.76,0.72
"Limnephilidae",0.82,0.62,0.62,0.62,0.62,0.61,0.67,0.61,0.53
"Rhyacophilidae",0.81,0.74,0.73,0.76,0.62,0.79,0.79,0.78,0.77
"Elmidae",0.77,0.69,0.69,0.7,0.72,0.71,0.76,0.85,0.73
"Gammaridae",0.74,0.59,0.59,0.58,0.64,0.71,0.69,0.79,0.58
"Heptageniidae",0.72,0.82,0.81,0.82,0.63,0.81,0.83,0.87,0.83
"Nemouridae",0.71,0.84,0.84,0.84,0.67,0.84,0.83,0.81,0.84
"Empididae",0.69,0.63,0.63,0.59,0.54,0.68,0.71,0.7,0.57
"Hydropsychidae",0.69,0.72,0.69,0.68,0.75,0.75,0.75,0.82,0.74
"Leuctridae",0.68,0.85,0.84,0.85,0.74,0.85,0.82,0.83,0.84
"Ceratopogonidae",0.59,0.68,0.68,0.69,0.6,0.73,0.7,0.77,0.63
"Prostigmata",0.54,0.55,0.56,0.52,0.57,0.65,0.66,0.65,0.62
"Psychodidae",0.51,0.65,0.65,0.66,0.57,0.72,0.68,0.68,0.61
"Leptophlebiidae",0.45,0.65,0.67,0.65,0.5,0.61,0.64,0.7,0.68
"Sphaeriidae",0.43,0.72,0.71,0.71,0.66,0.73,0.72,0.73,0.72
"Taeniopterygidae",0.44,0.77,0.78,0.78,0.69,0.82,0.81,0.8,0.79
"Perlodidae",0.44,0.87,0.86,0.86,0.79,0.88,0.88,0.86,0.87
"Athericidae",0.36,0.74,0.75,0.73,0.75,0.7,0.82,0.85,0.75
"Psychomyiidae",0.34,0.56,0.56,0.55,0.58,0.63,0.6,0.65,0.58
"Nematoda",0.33,0.6,0.58,0.61,0.61,0.62,0.64,0.63,0.51
"Hydraenidae",0.32,0.68,0.69,0.7,0.68,0.76,0.74,0.78,0.67
"Planariidae",0.32,0.65,0.65,0.65,0.65,0.64,0.69,0.73,0.56
"Sericostomatidae",0.28,0.66,0.63,0.67,0.61,0.75,0.77,0.8,0.7
"Tipulidae",0.27,0.63,0.62,0.6,0.56,0.6,0.63,0.6,0.59
"Polycentropodidae",0.26,0.49,0.52,0.5,0.52,0.59,0.54,0.63,0.64
"Odontoceridae",0.25,0.68,0.67,0.66,0.6,0.71,0.7,0.7,0.57
"Dugesiidae",0.22,0.53,0.49,0.5,0.49,0.56,0.64,0.65,0.54
"Lymnaeidae",0.22,0.53,0.53,0.54,0.55,0.58,0.58,0.63,0.56
"Erpobdellidae",0.21,0.61,0.65,0.65,0.55,0.65,0.64,0.71,0.69
"Scirtidae",0.2,0.6,0.6,0.59,0.52,0.55,0.54,0.49,0.64
"Ephemerellidae",0.2,0.72,0.72,0.72,0.73,0.75,0.79,0.81,0.63
"Asellidae",0.19,0.73,0.73,0.73,0.74,0.73,0.74,0.78,0.69
"Ephemeridae",0.18,0.62,0.63,0.62,0.64,0.64,0.65,0.68,0.66
"Chloroperlidae",0.18,0.84,0.84,0.85,0.84,0.81,0.85,0.88,0.89
"Dytiscidae",0.16,0.59,0.59,0.6,0.72,0.63,0.68,0.69,0.67
"Stratiomyidae",0.17,0.73,0.73,0.72,0.68,0.65,0.73,0.65,0.72
"Hydroptilidae",0.16,0.58,0.57,0.59,0.58,0.54,0.57,0.58,0.58
"Hydrobiidae",0.14,0.67,0.67,0.66,0.62,0.55,0.68,0.68,0.63
"Perlidae",0.14,0.89,0.89,0.89,0.9,0.84,0.9,0.91,0.9
"Planorbidae",0.13,0.6,0.6,0.63,0.59,0.62,0.61,0.68,0.57
"Glossosomatidae",0.12,0.66,0.63,0.63,0.64,0.72,0.71,0.72,0.59
"Blephariceridae",0.12,0.59,0.59,0.58,0.79,0.53,0.77,0.66,0.76
"Glossiphoniidae",0.11,0.67,0.66,0.67,0.62,0.69,0.65,0.69,0.61
"Capniidae",0.1,0.88,0.86,0.86,0.87,0.87,0.84,0.83,0.9
"Goeridae",0.09,0.64,0.64,0.64,0.62,0.6,0.64,0.68,0.48
"Philopotamidae",0.09,0.85,0.88,0.94,0.94,0.52,0.42,0.7,0.92
"Dixidae",0.09,0.92,0.91,0.86,0.57,0.83,0.73,0.62,0.97
"Gyrinidae",0.08,0.7,0.71,0.67,0.62,0.63,0.75,0.76,0.64
"Caenidae",0.08,0.68,0.64,0.61,0.53,0.73,0.74,0.75,0.63
"Leptoceridae",0.08,0.58,0.59,0.6,0.59,0.6,0.63,0.71,0.57
"Calopterygidae",0.08,0.63,0.63,0.62,0.63,0.61,0.66,0.68,0.64
"Tabanidae",0.07,0.51,0.52,0.48,0.57,0.55,0.63,0.6,0.59
"Pediciidae",0.07,0.81,0.77,0.79,0.78,0.7,0.83,0.84,0.62
"Cordulegastridae",0.07,0.75,0.78,0.74,0.57,0.65,0.75,0.67,0.76
"Anthomyiidae",0.07,0.54,0.56,0.51,0.58,0.57,0.57,0.67,0.61
"Lepidostomatidae",0.06,0.63,0.47,0.52,0.71,0.61,0.66,0.69,0.65
"Physidae",0.06,0.65,0.63,0.64,0.59,0.53,0.67,0.67,0.58
"Sialidae",0.05,0.77,0.72,0.76,0.76,0.72,0.77,0.77,0.54
