"Taxa","Prevalence","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN"
"Simuliidae",0.92,1,1,1,0.93,0.99,0.99,0.83,0.98
"Oligochaeta",0.87,0.94,0.94,0.94,0.8,0.92,0.91,0.7,0.92
"Limoniidae",0.86,0.99,0.99,0.98,0.94,1.01,1,0.77,0.95
"Limnephilidae",0.82,0.87,0.87,0.88,0.71,0.84,0.83,0.64,0.87
"Rhyacophilidae",0.81,1.04,1.04,1.04,0.81,1.03,1.01,0.76,1.01
"Elmidae",0.77,1.24,1.24,1.25,1.17,1.16,1.16,0.92,1.2
"Gammaridae",0.74,1.08,1.08,1.08,1.03,1.06,1.03,0.88,1.09
"Heptageniidae",0.72,0.95,0.95,0.94,0.64,0.91,0.91,0.7,0.95
"Nemouridae",0.71,0.89,0.9,0.9,0.47,0.8,0.8,0.63,0.88
"Empididae",0.69,0.99,1,0.99,0.61,0.98,0.98,0.67,0.99
"Hydropsychidae",0.69,1.26,1.26,1.25,1.25,1.17,1.19,0.85,1.15
"Leuctridae",0.68,0.9,0.91,0.91,0.72,0.93,0.86,0.67,0.91
"Ceratopogonidae",0.59,1.01,0.99,1.01,0.98,1.02,0.99,0.72,0.99
"Prostigmata",0.54,1.06,1.07,1.06,1.04,1.05,1.03,0.68,1.04
"Psychodidae",0.51,1,1,1.01,0.6,0.99,0.98,0.66,0.99
"Leptophlebiidae",0.45,0.93,0.94,0.92,0.45,0.86,0.88,0.63,0.94
"Sphaeriidae",0.43,0.9,0.9,0.9,0.78,0.89,0.86,0.63,0.88
"Taeniopterygidae",0.44,1.01,1.02,1.02,0.75,1,0.96,0.68,1.06
"Perlodidae",0.44,1.12,1.1,1.12,0.96,1.11,1.09,0.78,1.1
"Athericidae",0.36,1.03,1.06,1.03,1.03,0.98,1.02,0.76,1.05
"Psychomyiidae",0.34,0.85,0.86,0.88,0.85,0.87,0.84,0.62,0.89
"Nematoda",0.33,0.97,0.96,0.97,0.92,0.94,0.95,0.63,0.96
"Hydraenidae",0.32,1.08,1.09,1.09,0.99,1.07,1.06,0.75,1.08
"Planariidae",0.32,1.07,1.09,1.09,1.03,1.02,1.02,0.74,1.09
"Sericostomatidae",0.28,1.02,1.02,1.02,0.57,1.02,1.01,0.75,1.04
"Tipulidae",0.27,0.94,0.94,0.94,0.66,0.92,0.94,0.65,0.93
"Polycentropodidae",0.26,0.88,0.88,0.89,0.77,0.83,0.85,0.62,0.89
"Odontoceridae",0.25,1.04,1.02,1.04,0.86,1.03,0.97,0.71,1.01
"Dugesiidae",0.22,0.85,0.84,0.84,0.44,0.82,0.82,0.62,0.85
"Lymnaeidae",0.22,0.76,0.78,0.79,0.78,0.83,0.8,0.62,0.82
"Erpobdellidae",0.21,0.65,0.7,0.72,0.59,0.56,0.67,0.57,0.72
"Scirtidae",0.2,1.26,1.26,1.26,0.27,1.19,1.18,0.8,1.25
"Ephemerellidae",0.2,0.81,0.81,0.81,0.79,0.8,0.81,0.66,0.78
"Asellidae",0.19,0.74,0.75,0.74,0.72,0.68,0.72,0.61,0.75
"Ephemeridae",0.18,0.83,0.83,0.84,0.78,0.82,0.83,0.65,0.87
"Chloroperlidae",0.18,1.13,1.13,1.14,1.12,1.11,1.08,0.9,1.19
"Dytiscidae",0.16,0.92,0.92,0.95,0.96,0.94,0.93,0.67,0.95
"Stratiomyidae",0.17,1.04,1.03,1.04,0.94,1.01,1.02,0.7,1.03
"Hydroptilidae",0.16,0.72,0.71,0.71,0.67,0.63,0.69,0.57,0.72
"Hydrobiidae",0.14,0.68,0.67,0.69,0.53,0.6,0.62,0.58,0.69
"Perlidae",0.14,1.02,1.01,1.02,1.05,0.99,1.01,0.86,1.08
"Planorbidae",0.13,0.7,0.72,0.72,0.42,0.66,0.67,0.6,0.71
"Glossosomatidae",0.12,1.12,1.12,1.11,0.71,1.11,1.09,0.88,1.13
"Blephariceridae",0.12,1.27,1.27,1.27,0.52,1.24,1.25,1.06,1.29
"Glossiphoniidae",0.11,0.78,0.78,0.78,0.69,0.73,0.74,0.65,0.76
"Capniidae",0.1,1.04,1.06,1.05,1.05,1.07,1.05,0.9,1.11
"Goeridae",0.09,1,1,1,0.94,1,0.99,0.81,0.99
"Philopotamidae",0.09,1.29,1.29,1.29,0.12,1.22,1.23,1.07,1.28
"Dixidae",0.09,1.29,1.29,1.29,0.11,1.24,1.26,1.06,1.3
"Gyrinidae",0.08,0.7,0.73,0.71,0.34,0.62,0.67,0.67,0.71
"Caenidae",0.08,0.72,0.71,0.7,0.47,0.63,0.71,0.58,0.7
"Leptoceridae",0.08,0.61,0.62,0.6,0.59,0.52,0.57,0.61,0.62
"Calopterygidae",0.08,0.74,0.74,0.75,0.55,0.68,0.74,0.67,0.75
"Tabanidae",0.07,0.86,0.85,0.86,0.83,0.89,0.89,0.67,0.9
"Pediciidae",0.07,1.09,1.08,1.09,1.01,1.03,1.03,0.89,1.06
"Cordulegastridae",0.07,1.07,1.07,1.07,0.76,1.07,1.05,0.88,1.06
"Anthomyiidae",0.07,0.89,0.89,0.89,0.51,0.88,0.9,0.72,0.9
"Lepidostomatidae",0.06,0.67,0.6,0.59,0.64,0.61,0.62,0.63,0.7
"Physidae",0.06,0.91,0.89,0.88,0.47,0.93,0.91,0.79,0.87
"Sialidae",0.05,1.11,1.1,1.1,1.09,1.1,1.07,0.93,1.07
